order,Date,Site,Site_name,Type,Quad ,Depth,Morpho-ID,Sample_numb,comments,PTM,Code,Species_name_paper,Species_name_martone,Cover
65,July-06-2014,3,Kelpie,Urchin,2,13.5,Coralline crust,2,,"1,038",quad 2-sample 2; on cap corral; voucher in bag,Bossiella exarticulata,Bossiella exarticulata,2.2
78,July-06-2014,3,Kelpie,Urchin,4,10.1,Coralline crust,4,,"1,049",quad 4-sample 4; on rock; dirty,Bossiella exarticulata,Bossiella exarticulata,6.8
11,July-07-2014,1,Goose Island,Kelp,3,13.7,Bossiella sp.,3,same as 2?,"1,071",quad 3-sample 3a; on rock,Bossiella reptans,Bossiella reptans,0.5
14,July-07-2014,1,Goose Island,Kelp,4,13,Bossiella sp.,1,,"1,074",quad 4-sample 1; on rock,Bossiella reptans,Bossiella reptans,0.5
1,July-07-2014,1,Goose Island,Kelp,1,13.3,Bossiella schmittii,1,,"1,058",quad 1-sample 1; on rock/bryozoan,Bossiella schmittii,Bossiella schmittii,7
27,July-07-2014,1,Goose Island,Kelp,6,12.9,Bossiella schmittii,,,NONE,No sample,Bossiella schmittii,Bossiella schmittii,5
41,July-13-2014,2,McMullin,Kelp,2,12.8,B.schmittii,7,,NONE,No sample,Bossiella schmittii,Bossiella schmittii,1
47,July-13-2014,2,McMullin,Kelp,3,12.4,B.schmittii,6,,NONE,No sample,Bossiella schmittii,Bossiella schmittii,6.6
53,July-13-2014,2,McMullin,Kelp,4,11.9,B.schmittii,6,,NONE,No sample,Bossiella schmittii,Bossiella schmittii,28.3
56,July-13-2014,2,McMullin,Kelp,5,15,B.schmittii,3,,NONE,No sample,Bossiella schmittii,Bossiella schmittii,4
60,July-13-2014,2,McMullin,Kelp,6,15,B.schmittii,4,,NONE,No sample,Bossiella schmittii,Bossiella schmittii,15
12,July-07-2014,1,Goose Island,Kelp,3,13.7,Coralline crust,4,no DNA b/c on tunicate,"1,072",quad 3-sample 3b; on bryozoan; need DNA; voucher in bag,Chiharaea americana,Chiharaea americana f. americana,8.3
13,July-07-2014,1,Goose Island,Kelp,3,13.7,Coralline crust,5,,"1,073",quad 3-sample 5; on rock; no voucher,Chiharaea americana,Chiharaea americana f. americana,0.5
16,July-07-2014,1,Goose Island,Kelp,4,13,Coralline crust,3,,"1,076",quad 4-sample 3; on rock,Chiharaea americana,Chiharaea americana f. americana,2.8
18,July-07-2014,1,Goose Island,Kelp,5,12.8,Chiharaea americana,1,,"1,078",quad 5-sample 1; voucher on rock,Chiharaea americana,Chiharaea americana f. americana,15
24,July-07-2014,1,Goose Island,Kelp,6,12.9,Chiharaea americana,2,,"1,084",quad 6-sample 2,Chiharaea americana,Chiharaea americana f. americana,5
29,July-13-2014,2,McMullin,Kelp,1,12.8,Chiharaea americana,2,sample on rock,"1,191",quad 1-sample 2; not a sequencing priority,Chiharaea americana,Chiharaea americana f. americana,5.3
36,July-13-2014,2,McMullin,Kelp,2,12.8,Chiharaea americana,2,,"1,198",quad 2-sample 2; voucher in bag; not a sequencing priority,Chiharaea americana,Chiharaea americana f. americana,15.3
49,July-13-2014,2,McMullin,Kelp,4,11.9,C.americana,2,,NONE,No sample,Chiharaea americana,Chiharaea americana f. americana,5.7
73,July-06-2014,3,Kelpie,Urchin,3,13.2,Chiharaea americana,3,3 and 4 appear the same,"1,044",quad 3-sample 3; on rock,Chiharaea americana,Chiharaea americana f. americana,8.6
74,July-06-2014,3,Kelpie,Urchin,3,13.2,Chiharaea americana,4,,"1,045",quad 3-sample 4; on rock,Chiharaea americana,Chiharaea americana f. americana,34.3
75,July-06-2014,3,Kelpie,Urchin,4,10.1,Chiharaea americana,1,,"1,046",quad 4-sample 1; on rock,Chiharaea americana,Chiharaea americana f. americana,54.3
83,July-06-2014,3,Kelpie,Urchin,6,10.1,Coralline crust,1,,"1,054",quad 6-sample 1; on rock,Chiharaea americana,Chiharaea americana f. americana,33.2
95,July-08-2014,4,Thrasher,Urchin,3,14.1,Coralline crust,2,,"1,105",quad 3-sample 2 (C. americana?),Chiharaea americana,Chiharaea americana f. americana,8.6
82,July-06-2014,3,Kelpie,Urchin,5,10.2,Coralline crust,4,,"1,053",quad 5-sample 4; on rock,Chiharaea americana ,Chiharaea americana f. americana,9.4
35,July-13-2014,2,McMullin,Kelp,2,12.8,Chiharaea bodegensis,1,,"1,197",quad 2-sample 1; voucher in bag; not a sequencing priority,Chiharaea bodegensis,Chiharaea americana f. bodegensis,2
