"","Species_name_martone","Kelp_cover_total","Urchin_cover_total","Kelp_relative_abun","Urchin_relative_abun"
"1","Bossiella exarticulata",0,0.75,0,1
"2","Corsp13BCcrust",0,0.425,0,1
"3","Lithophyllum sp2",0,2.65,0,1
"4","Mesophyllum sp2",0,0.0416666666666667,0,1
"5","Neopolyporolithon sp",0,0.0416666666666667,0,1
"6","Lithophyllum Corsp27BC",0.941666666666667,27.7833333333333,0.0327821293878735,0.967217870612126
"7","Crusticorallina adhaerens",2.01944444444444,11.1055555555556,0.153862433862434,0.846137566137566
"8","Lithophyllum sp4",2.34166666666667,8.83333333333333,0.209545115585384,0.790454884414616
"9","Chiharaea americana f. americana",4.45833333333333,10.5791666666667,0.29648101967304,0.70351898032696
"10","Crusticorallina muricata",2.47916666666667,5.725,0.302183849669883,0.697816150330117
"11","Crusticorallina painei",1.39166666666667,1.80833333333333,0.434895833333333,0.565104166666667
"12","Fleshy red crust",14.7916666666667,3.08333333333333,0.827505827505828,0.172494172494172
"13","Bossiella reptans",0.0833333333333333,0,1,0
"14","Bossiella schmittii",5.575,0,1,0
"15","Chiharaea americana f. bodegensis",0.166666666666667,0,1,0
"16","Corsp7BCcrsut",1.275,0,1,0
"17","Lithophyllum Corsp4BC",0.833333333333333,0,1,0
"18","Lithothamnion glaciale",3.12916666666667,0,1,0
"19","Melobesia sp",0.0416666666666667,0,1,0
"20","Mesophyllum vancouveriense",2.46666666666667,0,1,0
