Plate,Kelp_species,Type,Plate_numb,Morpho_species,Species_genetic,Species_updated,Unique DNA,Period,Date_recorded,Density_cm,Area_cm,Sample,Rep,Unique_site,Date_released,Note
1.4,Macrocystis,Articulate,1,Bossiella orbigniana,,Bossiella orbigniana,-,1,2021-09-08,15.66207879,2.107,Full,1,Macro_1,2021-07-22,
1.4,Macrocystis,Articulate,1,Bossiella orbigniana,,Bossiella orbigniana,-,2,2021-09-15,6.644518272,2.107,Full,1,Macro_1,2021-07-22,
12.1,Macrocystis,Articulate,12,Bossiella orbigniana,,Bossiella orbigniana,-,1,2021-09-08,2.223869533,2.698,Full,6,Macro_6,2021-07-22,
12.1,Macrocystis,Articulate,12,Bossiella orbigniana,,Bossiella orbigniana,-,2,2021-09-15,5.559673832,2.698,Full,6,Macro_6,2021-07-22,
4.3,Macrocystis,Articulate,4,Bossiella orbigniana,,Bossiella orbigniana,-,1,2021-09-08,45.49675023,2.154,Full,2,Macro_2,2021-07-22,
4.3,Macrocystis,Articulate,4,Bossiella orbigniana,,Bossiella orbigniana,-,2,2021-09-15,58.03156917,2.154,Full,2,Macro_2,2021-07-22,
6.4,Macrocystis,Articulate,6,Bossiella orbigniana,,Bossiella orbigniana,-,1,2021-09-08,24.23263328,1.857,Full,3,Macro_3,2021-07-22,
6.4,Macrocystis,Articulate,6,Bossiella orbigniana,,Bossiella orbigniana,-,2,2021-09-15,56.54281099,1.857,Full,3,Macro_3,2021-07-22,
7.4,Macrocystis,Articulate,7,Bossiella orbigniana,,Bossiella orbigniana,-,1,2021-09-08,30.43022036,1.906,Full,4,Macro_4,2021-07-22,
7.4,Macrocystis,Articulate,7,Bossiella orbigniana,,Bossiella orbigniana,-,2,2021-09-15,49.31794334,1.906,Full,4,Macro_4,2021-07-22,
9.2,Macrocystis,Articulate,9,Bossiella orbigniana,,Bossiella orbigniana,-,1,2021-09-08,31.29770992,2.62,Full,5,Macro_5,2021-07-22,
9.2,Macrocystis,Articulate,9,Bossiella orbigniana,,Bossiella orbigniana,-,2,2021-09-15,50,2.62,Full,5,Macro_5,2021-07-22,
14.2,Nereocystis,Articulate,14,Bossiella orbigniana,Bossiella orbigniana,Bossiella orbigniana,-,1,2021-09-07,101.8755328,2.346,Full,1,Nereocystis_1,2021-07-22,
14.2,Nereocystis,Articulate,14,Bossiella orbigniana,Bossiella orbigniana,Bossiella orbigniana,-,2,2021-09-14,246.8030691,2.346,Full,1,Nereocystis_1,2021-07-22,
16.6,Nereocystis,Articulate,16,Bossiella orbigniana,,Bossiella orbigniana,-,1,2021-09-07,210.816777,1.812,Subsample,2,Nereocystis_2,2021-07-22,
16.6,Nereocystis,Articulate,16,Bossiella orbigniana,,Bossiella orbigniana,-,2,2021-09-14,269.3156733,1.812,Full,2,Nereocystis_2,2021-07-22,
17.1,Nereocystis,Articulate,17,Bossiella orbigniana,,Bossiella orbigniana,-,1,2021-09-07,83.66141732,2.032,Subsample,3,Nereocystis_3,2021-07-22,
17.1,Nereocystis,Articulate,17,Bossiella orbigniana,,Bossiella orbigniana,-,2,2021-09-14,72.83464567,2.032,Full,3,Nereocystis_3,2021-07-22,
20.3,Nereocystis,Articulate,20,Bossiella orbigniana,,Bossiella orbigniana,-,1,2021-09-07,132.5115562,1.298,Full,4,Nereocystis_4,2021-07-22,
20.3,Nereocystis,Articulate,20,Bossiella orbigniana,,Bossiella orbigniana,-,2,2021-09-14,140.2157165,1.298,Full,4,Nereocystis_4,2021-07-22,
22.6,Nereocystis,Articulate,22,Bossiella orbigniana,,Bossiella orbigniana,-,1,2021-09-07,82.92945611,1.857,Full,5,Nereocystis_5,2021-07-22,
22.6,Nereocystis,Articulate,22,Bossiella orbigniana,,Bossiella orbigniana,-,2,2021-09-14,129.7792138,1.857,Full,5,Nereocystis_5,2021-07-22,
24.6,Nereocystis,Articulate,24,Bossiella orbigniana,,Bossiella orbigniana,-,1,2021-09-07,71.15869018,1.588,Full,6,Nereocystis_6,2021-07-22,
24.6,Nereocystis,Articulate,24,Bossiella orbigniana,,Bossiella orbigniana,-,2,2021-09-14,79.34508816,1.588,Full,6,Nereocystis_6,2021-07-22,
11.2,Costaria Costata,Articulate,11,Bossiella schmitti,Bossiella schmittii,Bossiella schmittii,-,1,2020-10-02,10.04394225,1.593,Full,1,Costaria_1,2020-07-30,
11.2,Costaria Costata,Articulate,11,Bossiella schmitti,Bossiella schmittii,Bossiella schmittii,-,2,2020-10-08,5.649717514,1.593,Full,1,Costaria_1,2020-07-30,
14.1,Costaria Costata,Articulate,14,Bossiella schmitti,,Bossiella schmittii,-,1,2020-10-02,11.47028154,0.959,Full,2,Costaria_2,2020-07-30,
14.1,Costaria Costata,Articulate,14,Bossiella schmitti,,Bossiella schmittii,-,2,2020-10-08,8.342022941,0.959,Full,2,Costaria_2,2020-07-30,
15.6,Costaria Costata,Articulate,15,Bossiella schmitti,,Bossiella schmittii,-,1,2020-10-02,9.769094139,1.126,Full,3,Costaria_3,2020-07-30,
15.6,Costaria Costata,Articulate,15,Bossiella schmitti,,Bossiella schmittii,-,2,2020-10-08,13.32149201,1.126,Full,3,Costaria_3,2020-07-30,
18.4,Costaria Costata,Articulate,18,Bossiella schmitti,,Bossiella schmittii,-,1,2020-10-02,21.77858439,1.102,Full,4,Costaria_4,2020-07-30,
18.4,Costaria Costata,Articulate,18,Bossiella schmitti,,Bossiella schmittii,-,2,2020-10-08,28.13067151,1.102,Full,4,Costaria_4,2020-07-30,
20.3,Costaria Costata,Articulate,20,Bossiella schmitti,,Bossiella schmittii,-,1,2020-10-02,48.48484848,0.99,Full,5,Costaria_5,2020-07-30,
20.3,Costaria Costata,Articulate,20,Bossiella schmitti,,Bossiella schmittii,-,2,2020-10-08,NA,0.99,Full,5,Costaria_5,2020-07-30,
1.6,Macrocystis,Articulate,1,Bossiella schmitti,,Bossiella schmittii,-,1,2021-09-08,48.78971256,2.644,Full,1,Macro_1,2021-07-22,
1.6,Macrocystis,Articulate,1,Bossiella schmitti,,Bossiella schmittii,-,2,2021-09-15,50.30257186,2.644,Full,1,Macro_1,2021-07-22,
11.4,Macrocystis,Articulate,11,Bossiella schmitti,,Bossiella schmittii,-,1,2021-09-08,14.0591204,2.774,Full,6,Macro_6,2021-07-22,
11.4,Macrocystis,Articulate,11,Bossiella schmitti,,Bossiella schmittii,-,2,2021-09-15,11.8961788,2.774,Full,6,Macro_6,2021-07-22,
3.1,Macrocystis,Articulate,3,Bossiella schmitti,,Bossiella schmittii,-,1,2021-09-08,37.34439834,2.41,Full,2,Macro_2,2021-07-22,
