"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Rock - Hildenbrandia spp",-0.453031392929795,0.957223819658262,32,-0.473276347313977,0.999912105771663
"2","Rock - Lithophyllum Corsp27BC",-0.116836633779692,0.567779084664568,32,-0.205778333396547,0.999999865365241
"3","Rock - Crusticorallina muricata",0.439544835469056,0.408458127824404,32,1.07610745270325,0.973683505876713
"4","Rock - Crusticorallina painei",0.155621512085783,0.482900927687427,32,0.322263849918537,0.999995421604262
"5","Rock - Chiharaea americana f. bodegensis",0.241536626203404,0.432619393860852,32,0.558312062822343,0.999697569338209
"6","Rock - Lithothamnion glaciale",0.166011891314301,0.462670371087993,32,0.358812454153734,0.999989453173223
"7","Rock - Bossiella schmittii",-2.53254514509742,0.519380197478344,32,-4.87609107430982,0.000848268399410324
"8","Rock - Calliarthron tuberculosum",-3.72668898180958,0.567545975431953,32,-6.56632086761472,6.99057726372132e-06
"9","Hildenbrandia spp - Lithophyllum Corsp27BC",0.336194759150103,0.951301448297044,32,0.353405074439796,0.999990623547527
"10","Hildenbrandia spp - Crusticorallina muricata",0.892576228398851,0.865701679988745,32,1.03104365976332,0.979676433752794
"11","Hildenbrandia spp - Crusticorallina painei",0.608652905015578,0.903213519889342,32,0.673874882973571,0.998813154502504
"12","Hildenbrandia spp - Chiharaea americana f. bodegensis",0.694568019133199,0.877360186294118,32,0.791656642258848,0.996344283532503
"13","Hildenbrandia spp - Lithothamnion glaciale",0.619043284244096,0.892561050479024,32,0.693558478618202,0.998543749420977
"14","Hildenbrandia spp - Bossiella schmittii",-2.07951375216763,0.923231902656186,32,-2.25242839440964,0.398614123471656
"15","Hildenbrandia spp - Calliarthron tuberculosum",-3.27365758887979,0.951162336711523,32,-3.44174434008592,0.0377053909979157
"16","Lithophyllum Corsp27BC - Crusticorallina muricata",0.556381469248749,0.394379318419105,32,1.41077750090709,0.885420482394489
"17","Lithophyllum Corsp27BC - Crusticorallina painei",0.272458145865475,0.471052343771134,32,0.578403121156854,0.999607553488653
"18","Lithophyllum Corsp27BC - Chiharaea americana f. bodegensis",0.358373259983096,0.419352530164576,32,0.854587093685714,0.993879107996646
"19","Lithophyllum Corsp27BC - Lithothamnion glaciale",0.282848525093993,0.450289769918884,32,0.628147792797838,0.999283620196264
"20","Lithophyllum Corsp27BC - Bossiella schmittii",-2.41570851131773,0.508382527378296,32,-4.75175361312164,0.00120099713798705
"21","Lithophyllum Corsp27BC - Calliarthron tuberculosum",-3.60985234802989,0.557499272501684,32,-6.47507992581099,9.0472818456977e-06
"22","Crusticorallina muricata - Crusticorallina painei",-0.283923323383273,0.2575951547983,32,-1.10220754581191,0.969668307595959
"23","Crusticorallina muricata - Chiharaea americana f. bodegensis",-0.198008209265653,0.142553490868213,32,-1.38900989417864,0.893779962059465
"24","Crusticorallina muricata - Lithothamnion glaciale",-0.273532944154755,0.217315048022183,32,-1.25869306633028,0.935970841704767
"25","Crusticorallina muricata - Bossiella schmittii",-2.97208998056648,0.320807960229833,32,-9.26438975652979,4.88793894248829e-09
"26","Crusticorallina muricata - Calliarthron tuberculosum",-4.16623381727864,0.394043642307789,32,-10.5730263604263,1.98046912203154e-10
"27","Crusticorallina painei - Chiharaea americana f. bodegensis",0.0859151141176205,0.294409173658488,32,0.291822136688177,0.999997890739536
"28","Crusticorallina painei - Lithothamnion glaciale",0.0103903792285183,0.337017942953256,32,0.0308303443355816,1
"29","Crusticorallina painei - Bossiella schmittii",-2.68816665718321,0.411428014508475,32,-6.53374724712099,7.66433597576555e-06
"30","Crusticorallina painei - Calliarthron tuberculosum",-3.88231049389536,0.47077134133117,32,-8.24670100545543,6.87958126022181e-08
"31","Chiharaea americana f. bodegensis - Lithothamnion glaciale",-0.0755247348891022,0.259898687675789,32,-0.29059298284459,0.999997959303731
"32","Chiharaea americana f. bodegensis - Bossiella schmittii",-2.77408177130083,0.351054475979925,32,-7.90214044004801,1.7328847912168e-07
"33","Chiharaea americana f. bodegensis - Calliarthron tuberculosum",-3.96822560801298,0.419036859717499,32,-9.46987243720811,2.91170354493886e-09
"34","Lithothamnion glaciale - Bossiella schmittii",-2.69855703641172,0.387483647969446,32,-6.96431204401305,2.28477043262565e-06
"35","Lithothamnion glaciale - Calliarthron tuberculosum",-3.89270087312388,0.449995802358281,32,-8.6505270776383,2.3722310560359e-08
"36","Bossiella schmittii - Calliarthron tuberculosum",-1.19414383671216,0.50812216974859,32,-2.35011166173481,0.34414132780249
