"","Kelp_species","Species_updated","N","Density_cm_max","sd","se","ci"
"1","Costaria Costata","Cover slip",4,148.9779874275,49.4672568724218,24.7336284362109,78.7134444330794
"2","Costaria Costata","Rock",5,1.1855197582,2.44720986414698,1.09442552228813,3.03861238436042
"3","Costaria Costata","Hildenbrandia spp",3,3.11133311133333,4.98228631981638,2.87652434792578,12.3766853377936
"4","Costaria Costata","Peyssonnelia spp",2,2.966558792,4.19534767722355,2.966558792,37.6937033730511
"5","Costaria Costata","Dead Crusticorallina",2,174.004192855,124.521948859335,88.050314445,1118.78532242273
"6","Costaria Costata","Lithophyllum Corsp27BC",3,0.930208837,1.03868535222905,0.599685267712762,2.58023745411485
"7","Costaria Costata","Crusticorallina muricata",3,0,0,0,0
"8","Costaria Costata","Crusticorallina painei",7,0.682620491571429,1.65999289021455,0.627418337949005,1.5352373667531
"9","Costaria Costata","Chiharaea americana f. bodegensis",5,0.2613197186,0.386091703084789,0.172665458729251,0.47939616772556
"10","Costaria Costata","Lithophyllum Corsp4BC",2,51.47402558,43.5734609535182,30.81108972,391.492014126967
"11","Costaria Costata","Lithothamnion glaciale",5,0.4314276178,0.739007681907288,0.330494282527848,0.917599233020299
"12","Costaria Costata","Bossiella schmittii",5,22.290247158,16.3382213215602,7.30667470128903,20.2865812096665
"13","Costaria Costata","Calliarthron tuberculosum",5,79.184100476,52.8629722655824,23.6410398957057,65.6380495002177
"14","Macrocystis","Cover slip",6,1519.6942973,653.376354777578,266.739779867457,685.676432968913
"15","Macrocystis","Rock",6,312.463256916667,328.976721358575,134.304184097045,345.239896089819
"16","Macrocystis","Hildenbrandia spp",3,2.92342323933333,1.86040736019864,1.07410669021305,4.62150808268733
"17","Macrocystis","Peyssonnelia spp",1,5.944517834,NA,NA,NA
"18","Macrocystis","Dead Crusticorallina",6,368.9685410955,701.791277197105,286.505089178169,736.484778058764
"19","Macrocystis","Lithophyllum Corsp27BC",6,209.722546323333,196.849976323173,80.3636663117874,206.581380866219
"20","Macrocystis","Crusticorallina muricata",8,119.388660395125,273.929358372376,96.8486534355936,229.010674647909
"21","Macrocystis","Crusticorallina painei",4,85.6019734825,84.151395743385,42.0756978716925,133.903649234001
"22","Macrocystis","Chiharaea americana f. bodegensis",6,112.986271151667,84.6899446680256,34.5745251302006,88.876646275445
"23","Macrocystis","Lithothamnion glaciale",6,326.8665491,299.000148659137,122.066299538534,313.781412337096
"24","Macrocystis","Bossiella schmittii",6,79.5235540583333,86.2277246215506,35.2023211673368,90.4904473649916
"25","Macrocystis","Calliarthron tuberculosum",6,191.946726915,84.5686823591509,34.5250199999048,88.7493892867357
"26","Macrocystis","Bossiella orbigniana",6,39.1856793536667,22.6279381162444,9.23781705267887,23.7465647165477
"27","Nereocystis","Cover slip",5,588.22313332,336.400845694478,150.443031732254,417.696819064133
"28","Nereocystis","Rock",6,1156.37860076667,816.503184092625,333.336029064115,856.867541475352
"29","Nereocystis","Peyssonnelia spp",2,15.1894208905,18.5663827144609,13.1284151195,166.812330369858
"30","Nereocystis","Dead Crusticorallina",5,1373.192239912,2152.73761640026,962.733529598368,2672.97679586318
"31","Nereocystis","Lithophyllum Corsp27BC",6,919.459141783333,991.302575921328,404.697581952306,1040.30825309254
"32","Nereocystis","Crusticorallina muricata",8,130.8788734475,90.6028218919887,32.0329348772311,75.7458546603929
"33","Nereocystis","Crusticorallina painei",4,48.74392948725,54.2270726338437,27.1135363169219,86.2873734749636
"34","Nereocystis","Chiharaea americana f. bodegensis",6,375.639191128333,493.286809735051,201.383496782707,517.672758826551
"35","Nereocystis","Lithothamnion glaciale",6,408.983155776667,311.930768542439,127.34520300053,327.351265688581
"36","Nereocystis","Bossiella schmittii",6,39.3529192676667,26.2244550106395,10.70608892644,27.5208777250139
"37","Nereocystis","Calliarthron tuberculosum",6,233.2286174,123.682871617782,50.4933208976209,129.79721352038
"38","Nereocystis","Bossiella orbigniana",6,158.186696363333,81.3664164325836,33.217700409773,85.3888172949715
