,contrast,group1,group 2,estimate,SE,df,t.ratio,p.value,sig
1,Cover slip - Rock,Cover slip , Rock,-0.577945786,0.522857061,53,-1.105360968,0.988912384,
2,Cover slip - Dead Crusticorallina,Cover slip , Dead Crusticorallina,0.599202846,1.214874313,53,0.493222088,0.999990029,
3,Cover slip - Lithophyllum Corsp27BC,Cover slip , Lithophyllum Corsp27BC,-0.092830553,0.618594166,53,-0.150066971,1,
4,Cover slip - Crusticorallina muricata,Cover slip , Crusticorallina muricata,1.583712753,0.47417473,53,3.339934951,0.05305083,
5,Cover slip - Crusticorallina painei,Cover slip , Crusticorallina painei,3.464273899,1.302077486,53,2.660574302,0.245539154,
6,Cover slip - Chiharaea americana f. bodegensis,Cover slip , Chiharaea americana f. bodegensis,0.791567357,0.578546471,53,1.36820013,0.950778555,
7,Cover slip - Lithothamnion glaciale,Cover slip , Lithothamnion glaciale,0.586250062,0.60871739,53,0.963090707,0.996204733,
8,Cover slip - Bossiella schmittii,Cover slip , Bossiella schmittii,2.718979989,0.495427812,53,5.488145644,5.87E-05,***
9,Cover slip - Calliarthron tuberculosum,Cover slip , Calliarthron tuberculosum,0.842629144,0.408080726,53,2.064858959,0.606239168,
10,Cover slip - Bossiella orbigniana,Cover slip , Bossiella orbigniana,1.245886977,0.422884006,53,2.946167177,0.13641314,
11,Rock - Dead Crusticorallina,Rock , Dead Crusticorallina,1.177148632,1.223712827,53,0.961948429,0.996240793,
12,Rock - Lithophyllum Corsp27BC,Rock , Lithophyllum Corsp27BC,0.485115234,0.635776871,53,0.763027496,0.999463869,
13,Rock - Crusticorallina muricata,Rock , Crusticorallina muricata,2.16165854,0.496382072,53,4.35482799,0.002749608,**
14,Rock - Crusticorallina painei,Rock , Crusticorallina painei,4.042219685,1.310327923,53,3.084891662,0.099420753,
15,Rock - Chiharaea americana f. bodegensis,Rock , Chiharaea americana f. bodegensis,1.369513143,0.596883159,53,2.294440917,0.452571208,
16,Rock - Lithothamnion glaciale,Rock , Lithothamnion glaciale,1.164195849,0.626171181,53,1.859229367,0.739663831,
