Urchin_metamorphosis.csv,Block,Number,Jar,Start_time,Start_date,Type,Treated_species,Species_gen_code,Cor_type,Species_genetic_only,Species_genetic,Morpho_species,Genus,Species_code,Recorder,Date,Time_period,Time,Coralline_area,Meta_coralline,Meta_jar,Meta_undergoing,Free_swimming,Notes,Total_urchins,Swabbing
top,A,9,A09,9:40:00 AM,2021-02-27,Untreated,yes,BAT-urchinA09,Articultae Coralline ,Bossiella schmittii ,,Bossiella schmittii ,Bossiella,Bossi,Nathan Duifhuis,2021-02-28,24hrs,10:00,1.822,2,1,3,9,,15,
top,A,9,A09,9:40:00 AM,2021-02-27,Untreated,yes,BAT-urchinA09,Articultae Coralline ,Bossiella schmittii ,,Bossiella schmittii ,Bossiella,Bossi,Stefanie Duff,2021-03-01,48hrs,9:44,1.822,3,5,4,10,,22,
top,C,5,C05,10:08:00 AM,2021-02-27,Untreated,yes,BAT-urchinC05,Articultae Coralline ,Bossiella schmittii ,,Bossiella schmittii ,Bossiella,Bossi,Tereno Johson,2021-02-28,24hrs,10:52,3.66,7,1,3,8,one underdeveloped stage attached to coralline,19,
top,C,5,C05,10:08:00 AM,2021-02-27,Untreated,yes,BAT-urchinC05,Articultae Coralline ,Bossiella schmittii ,,Bossiella schmittii ,Bossiella,Bossi,Brenton Twist,2021-03-01,48hrs,10:37,3.66,7,6,2,6,,21,
top,E,9,E09,10:22:00 AM,2021-02-27,Untreated,yes,BAT-urchinE09,Articultae Coralline ,Bossiella schmittii ,,Bossiella schmittii ,Bossiella,Bossi,Tereno Johson,2021-02-28,24hrs,11:37,3.531,3,1,2,13,,19,
top,E,9,E09,10:22:00 AM,2021-02-27,Untreated,yes,BAT-urchinE09,Articultae Coralline ,Bossiella schmittii ,,Bossiella schmittii ,Bossiella,Bossi,Brenton Twist,2021-03-01,48hrs,13:08,3.531,4,1,1,12,,18,
middle,G,9,G09,10:35:00 AM,2021-02-27,Untreated,yes,BAT-urchinG09,Articultae Coralline ,Bossiella schmittii ,,Bossiella schmittii ,Bossiella,Bossi,Brenton Twist,2021-02-28,24hrs,12:41,5.178,3,4,2,8,,17,
middle,G,9,G09,10:35:00 AM,2021-02-27,Untreated,yes,BAT-urchinG09,Articultae Coralline ,Bossiella schmittii ,,Bossiella schmittii ,Bossiella,Bossi,Brenton Twist,2021-03-01,48hrs,14:08,5.178,3,3,1,9,,16,
middle,I,1,I01,10:49:00 AM,2021-02-27,Untreated,yes,BAT-urchinI01,Articultae Coralline ,Bossiella schmittii ,,Bossiella schmittii ,Bossiella,Bossi,Nathan Duifhuis,2021-02-28,24hrs,13:00,3.704,1,0,4,7,,12,
middle,I,1,I01,10:49:00 AM,2021-02-27,Untreated,yes,BAT-urchinI01,Articultae Coralline ,Bossiella schmittii ,,Bossiella schmittii ,Bossiella,Bossi,Stefanie Duff,2021-03-01,48hrs,14:40,3.704,0,0,1,9,,10,
middle,K,5,K05,11:00:00 AM,2021-02-27,Untreated,yes,BAT-urchinK05,Articultae Coralline ,Bossiella schmittii ,,Bossiella schmittii ,Bossiella,Bossi,Nathan Duifhuis,2021-02-28,24hrs,13:39,2.554,2,1,1,11,,15,
middle,K,5,K05,11:00:00 AM,2021-02-27,Untreated,yes,BAT-urchinK05,Articultae Coralline ,Bossiella schmittii ,,Bossiella schmittii ,Bossiella,Bossi,Joel Filgate-McNabb,2021-03-01,48hrs,15:33,2.554,1,2,10,5,,18,
bottom,M,12,M12,11:11:00 AM,2021-02-27,Untreated,yes,BAT-urchinM12,Articultae Coralline ,Bossiella schmittii ,,Bossiella schmittii ,Bossiella,Bossi,Nathan Duifhuis,2021-02-28,24hrs,14:25,4.191,5,0,1,6,,12,
bottom,M,12,M12,11:11:00 AM,2021-02-27,Untreated,yes,BAT-urchinM12,Articultae Coralline ,Bossiella schmittii ,,Bossiella schmittii ,Bossiella,Bossi,Joel Filgate-McNabb,2021-03-01,48hrs,16:29,4.191,2,2,6,3,,13,
bottom,O,4,O04,11:22:00 AM,2021-02-27,Untreated,yes,BAT-urchinO04,Articultae Coralline ,Bossiella schmittii ,,Bossiella schmittii ,Bossiella,Bossi,Danielle Lacasse,2021-02-28,24hrs,14:55,4.751,1,1,1,12,,15,
bottom,O,4,O04,11:22:00 AM,2021-02-27,Untreated,yes,BAT-urchinO04,Articultae Coralline ,Bossiella schmittii ,,Bossiella schmittii ,Bossiella,Bossi,Tereno Johson,2021-03-01,48hrs,16:54,4.751,1,2,4,12,,19,
top,A,3,A03,9:40:00 AM,2021-02-27,Untreated,yes,BAT-urchinA03,Articultae Coralline ,Calliarthron tuberculosum ,,Calliarthron tuberculosum ,Calliarthron,Calli,Danielle Lacasse,2021-02-28,24hrs,9:39,4.468,0,2,0,15,,17,
top,A,3,A03,9:40:00 AM,2021-02-27,Untreated,yes,BAT-urchinA03,Articultae Coralline ,Calliarthron tuberculosum ,,Calliarthron tuberculosum ,Calliarthron,Calli,Brenton Twist,2021-03-01,48hrs,9:20,4.468,2,0,0,12,Can't find anymore,14,
top,C,11,C11,10:08:00 AM,2021-02-27,Untreated,yes,BAT-urchinC11,Articultae Coralline ,Calliarthron tuberculosum ,,Calliarthron tuberculosum ,Calliarthron,Calli,Tereno Johson,2021-02-28,24hrs,11:01,3.376,0,1,2,15,,18,
top,C,11,C11,10:08:00 AM,2021-02-27,Untreated,yes,BAT-urchinC11,Articultae Coralline ,Calliarthron tuberculosum ,,Calliarthron tuberculosum ,Calliarthron,Calli,Brenton Twist,2021-03-01,48hrs,10:55,3.376,0,4,1,14,Coralline turning slightly white,19,
top,E,10,E10,10:22:00 AM,2021-02-27,Untreated,yes,BAT-urchinE10,Articultae Coralline ,Calliarthron tuberculosum ,,Calliarthron tuberculosum ,Calliarthron,Calli,Brenton Twist,2021-02-28,24hrs,11:39,2.642,5,1,0,15,,21,
top,E,10,E10,10:22:00 AM,2021-02-27,Untreated,yes,BAT-urchinE10,Articultae Coralline ,Calliarthron tuberculosum ,,Calliarthron tuberculosum ,Calliarthron,Calli,Jessica Driver,2021-03-01,48hrs,12:41,2.642,4,2,3,13,,22,
middle,G,7,G07,10:35:00 AM,2021-02-27,Untreated,yes,BAT-urchinG07,Articultae Coralline ,Calliarthron tuberculosum ,,Calliarthron tuberculosum ,Calliarthron,Calli,Tereno Johson,2021-02-28,24hrs,12:13,1.958,6,1,0,13,,20,
middle,G,7,G07,10:35:00 AM,2021-02-27,Untreated,yes,BAT-urchinG07,Articultae Coralline ,Calliarthron tuberculosum ,,Calliarthron tuberculosum ,Calliarthron,Calli,Will Gartrell,2021-03-01,48hrs,13:59,1.958,4,3,3,9,,19,
middle,I,10,I10,10:49:00 AM,2021-02-27,Untreated,yes,BAT-urchinI10,Articultae Coralline ,Calliarthron tuberculosum ,,Calliarthron tuberculosum ,Calliarthron,Calli,Tereno Johson,2021-02-28,24hrs,13:16,2.241,3,2,2,13,,20,
middle,I,10,I10,10:49:00 AM,2021-02-27,Untreated,yes,BAT-urchinI10,Articultae Coralline ,Calliarthron tuberculosum ,,Calliarthron tuberculosum ,Calliarthron,Calli,Brenton Twist,2021-03-01,48hrs,15:00,2.241,2,1,0,16,,19,
middle,K,1,K01,11:00:00 AM,2021-02-27,Untreated,yes,BAT-urchinK01,Articultae Coralline ,Calliarthron tuberculosum ,,Calliarthron tuberculosum ,Calliarthron,Calli,Nathan Duifhuis,2021-02-28,24hrs,13:34,3.574,3,0,1,14,,18,
middle,K,1,K01,11:00:00 AM,2021-02-27,Untreated,yes,BAT-urchinK01,Articultae Coralline ,Calliarthron tuberculosum ,,Calliarthron tuberculosum ,Calliarthron,Calli,Tereno Johson,2021-03-01,48hrs,15:25,3.574,4,1,3,12,,20,
bottom,M,8,M08,11:11:00 AM,2021-02-27,Untreated,yes,BAT-urchinM08,Articultae Coralline ,Calliarthron tuberculosum ,,Calliarthron tuberculosum ,Calliarthron,Calli,Nathan Duifhuis,2021-02-28,24hrs,14:18,2.022,2,1,0,15,,18,
bottom,M,8,M08,11:11:00 AM,2021-02-27,Untreated,yes,BAT-urchinM08,Articultae Coralline ,Calliarthron tuberculosum ,,Calliarthron tuberculosum ,Calliarthron,Calli,Stefanie Duff,2021-03-01,48hrs,16:19,2.022,0,1,2,6,,9,
bottom,O,1,O01,11:22:00 AM,2021-02-27,Untreated,yes,BAT-urchinO01,Articultae Coralline ,Calliarthron tuberculosum ,,Calliarthron tuberculosum ,Calliarthron,Calli,Nathan Duifhuis,2021-02-28,24hrs,14:43,2.648,0,1,2,15,,18,
bottom,O,1,O01,11:22:00 AM,2021-02-27,Untreated,yes,BAT-urchinO01,Articultae Coralline ,Calliarthron tuberculosum ,,Calliarthron tuberculosum ,Calliarthron,Calli,Tereno Johson,2021-03-01,48hrs,16:49,2.648,1,1,4,14,,20,
top,A,5,A05,9:40:00 AM,2021-02-27,Untreated,yes,BAT-urchinA05,Crustose Coralline,Chiharaea americana f. bodegensis,,Chiharaea americana f. bodegensis,Chiharaea,Chihar,Nathan Duifhuis,2021-02-28,24hrs,9:40,2.838,1,4,0,8,,13,
top,A,5,A05,9:40:00 AM,2021-02-27,Untreated,yes,BAT-urchinA05,Crustose Coralline,Chiharaea americana f. bodegensis,,Chiharaea americana f. bodegensis,Chiharaea,Chihar,Brenton Twist,2021-03-01,48hrs,9:28,2.838,4,4,3,7,,18,
top,C,3,C03,10:08:00 AM,2021-02-27,Untreated,yes,BAT-urchinC03,Crustose Coralline,Chiharaea americana f. bodegensis,,Chiharaea americana f. bodegensis,Chiharaea,Chihar,Joel Filgate-McNabb,2021-02-28,24hrs,10:45,3.431,3,0,0,20,1 cat 1 on algae,23,
top,C,3,C03,10:08:00 AM,2021-02-27,Untreated,yes,BAT-urchinC03,Crustose Coralline,Chiharaea americana f. bodegensis,,Chiharaea americana f. bodegensis,Chiharaea,Chihar,Stefanie Duff,2021-03-01,48hrs,10:32,3.431,0,2,1,15,,18,
top,E,8,E08,10:22:00 AM,2021-02-27,Untreated,yes,BAT-urchinE08,Crustose Coralline,Chiharaea americana f. bodegensis,,Chiharaea americana f. bodegensis,Chiharaea,Chihar,Nathan Duifhuis,2021-02-28,24hrs,11:37,2.375,0,4,2,12,,18,
top,E,8,E08,10:22:00 AM,2021-02-27,Untreated,yes,BAT-urchinE08,Crustose Coralline,Chiharaea americana f. bodegensis,,Chiharaea americana f. bodegensis,Chiharaea,Chihar,Jessica Driver,2021-03-01,48hrs,12:30,2.375,1,3,5,9,,18,
middle,G,2,G02,10:35:00 AM,2021-02-27,Untreated,yes,BAT-urchinG02,Crustose Coralline,Chiharaea americana f. bodegensis,,Chiharaea americana f. bodegensis,Chiharaea,Chihar,Joel Filgate-McNabb,2021-02-28,24hrs,12:02,3.556,0,7,1,8,,16,
middle,G,2,G02,10:35:00 AM,2021-02-27,Untreated,yes,BAT-urchinG02,Crustose Coralline,Chiharaea americana f. bodegensis,,Chiharaea americana f. bodegensis,Chiharaea,Chihar,Brenton Twist,2021-03-01,48hrs,13:38,3.556,0,5,1,9,,15,
middle,I,14,I14,10:49:00 AM,2021-02-27,Untreated,yes,BAT-urchinI14,Crustose Coralline,Chiharaea americana f. bodegensis,,Chiharaea americana f. bodegensis,Chiharaea,Chihar,Brenton Twist,2021-02-28,24hrs,13:20,3.124,3,0,3,17,23 found,23,
middle,I,14,I14,10:49:00 AM,2021-02-27,Untreated,yes,BAT-urchinI14,Crustose Coralline,Chiharaea americana f. bodegensis,,Chiharaea americana f. bodegensis,Chiharaea,Chihar,Brenton Twist,2021-03-01,48hrs,15:05,3.124,1,3,3,10,,17,
middle,K,4,K04,11:00:00 AM,2021-02-27,Untreated,yes,BAT-urchinK04,Crustose Coralline,Chiharaea americana f. bodegensis,,Chiharaea americana f. bodegensis,Chiharaea,Chihar,Brenton Twist,2021-02-28,24hrs,13:38,2.951,2,1,0,14,,17,
middle,K,4,K04,11:00:00 AM,2021-02-27,Untreated,yes,BAT-urchinK04,Crustose Coralline,Chiharaea americana f. bodegensis,,Chiharaea americana f. bodegensis,Chiharaea,Chihar,Brenton Twist,2021-03-01,48hrs,15:32,2.951,1,1,0,13,,15,
