"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Control - Lithothamnion sp Rhodolith",-19.7391681031387,5.71939185409232,77,-3.45127045089855,0.0344314887437398
"2","Control - Lithophyllum Corsp27BC",-15.8443502232202,3.58431306079486,77,-4.42047052098361,0.00151179438566285
"3","Control - Corsp23BCcrust",-26.1149267399268,8.50387042955244,77,-3.07094598351038,0.094891133718172
"4","Control - Crusticorallina painei",-28.0019636059552,4.7302931229617,77,-5.91971002178038,4.47923640212178e-06
"5","Control - Hildenbrandia spp",-42.3926087529028,12.5034950997462,77,-3.39046070036555,0.0408736950274768
"6","Control - Chiharaea americana f. bodegensis",-18.5904164480731,5.36978610811864,77,-3.46204040044836,0.0333895701879253
"7","Control - Lithothamnion glaciale",-23.4060846560847,4.4553069978902,77,-5.25352903114613,6.62864437382948e-05
"8","Control - Corsp7BCcrsut",-18.2638888888889,7.16869591642616,77,-2.54772822028056,0.294495642748691
"9","Control - Bossiella schmittii",-23.9445734434125,5.3836074216289,77,-4.44768192926067,0.00137240096277713
"10","Control - Calliarthron tuberculosum",-16.0836834733894,4.32801171518875,77,-3.71618298003796,0.0157059482497622
"11","Lithothamnion sp Rhodolith - Lithophyllum Corsp27BC",3.8948178799185,6.38933552912851,77,0.609581053015969,0.999934295053722
"12","Lithothamnion sp Rhodolith - Corsp23BCcrust",-6.37575863678808,10.0145953821717,77,-0.636646653557106,0.999902145458476
"13","Lithothamnion sp Rhodolith - Crusticorallina painei",-8.26279550281652,7.0959130078615,77,-1.1644443066963,0.98447520151162
"14","Lithothamnion sp Rhodolith - Hildenbrandia spp",-22.6534406497641,13.576218107241,77,-1.6686120148351,0.84644865324869
"15","Lithothamnion sp Rhodolith - Chiharaea americana f. bodegensis",1.14875165506563,7.53730132294996,77,0.152408880293514,0.999999999908316
"16","Lithothamnion sp Rhodolith - Lithothamnion glaciale",-3.66691655294599,6.9156394376405,77,-0.530235357989843,0.999982040731966
"17","Lithothamnion sp Rhodolith - Corsp7BCcrsut",1.47527921424977,8.90878833109107,77,0.165598189049026,0.999999999790671
"18","Lithothamnion sp Rhodolith - Bossiella schmittii",-4.20540534027378,7.54715424886871,77,-0.557217356582338,0.999971418996693
"19","Lithothamnion sp Rhodolith - Calliarthron tuberculosum",3.65548462974934,6.83432467715796,77,0.534871373899881,0.999980511647885
"20","Lithophyllum Corsp27BC - Corsp23BCcrust",-10.2705765167066,8.96816467320615,77,-1.14522612942106,0.986272023505655
"21","Lithophyllum Corsp27BC - Crusticorallina painei",-12.157613382735,5.5215793349607,77,-2.20183622206735,0.510682409290726
"22","Lithophyllum Corsp27BC - Hildenbrandia spp",-26.5482585296826,12.8237886380159,77,-2.07023519172648,0.601474094340759
"23","Lithophyllum Corsp27BC - Chiharaea americana f. bodegensis",-2.74606622485287,6.07838532589621,77,-0.451775607767674,0.999996062869264
"24","Lithophyllum Corsp27BC - Lithothamnion glaciale",-7.56173443286449,5.28790372156828,77,-1.43000607254283,0.936854178968375
"25","Lithophyllum Corsp27BC - Corsp7BCcrsut",-2.41953866566872,7.71377770390821,77,-0.31366455691909,0.999999884937533
"26","Lithophyllum Corsp27BC - Bossiella schmittii",-8.10022322019228,6.09059883700643,77,-1.32995513856132,0.960505304750234
"27","Lithophyllum Corsp27BC - Calliarthron tuberculosum",-0.23933325016916,5.18110516491776,77,-0.0461934746643884,1
"28","Corsp23BCcrust - Crusticorallina painei",-1.88703686602843,9.48453217175717,77,-0.198959403780358,0.999999998705383
"29","Corsp23BCcrust - Hildenbrandia spp",-16.2776820129761,14.96389211393,77,-1.08779733835578,0.990686907577649
"30","Corsp23BCcrust - Chiharaea americana f. bodegensis",7.52451029185371,9.81912828793381,77,0.766311435313476,0.999484855922633
"31","Corsp23BCcrust - Lithothamnion glaciale",2.7088420838421,9.3504244787821,77,0.289702578742706,0.999999947188722
"32","Corsp23BCcrust - Corsp7BCcrsut",7.85103785103786,10.907377257166,77,0.719791537959302,0.999703799916824
"33","Corsp23BCcrust - Bossiella schmittii",2.17035329651431,9.82669356183329,77,0.220863028124121,0.999999996358294
"34","Corsp23BCcrust - Calliarthron tuberculosum",10.0312432665374,9.2904447092036,77,1.07973768538765,0.991203098222722
"35","Crusticorallina painei - Hildenbrandia spp",-14.3906451469476,13.1900692926102,77,-1.09102119387728,0.990473783820991
"36","Crusticorallina painei - Chiharaea americana f. bodegensis",9.41154715788214,6.817267860472,77,1.38054530796015,0.949522292733305
"37","Crusticorallina painei - Lithothamnion glaciale",4.59587894987053,6.12293219625449,77,0.750600987004545,0.999570611367435
